time;model_id;model_name;port_name;data
0;1;kinase_Processor;; Sigma 0.01 x1_value 0 x2_value 0 x3_value 0 x4_value 0 x1_derivative_val 0 x2_derivative_val 0 Current Time 0  

0.01;1;kinase_Processor;out;0
0.01;1;kinase_Processor;; Sigma 0.0101518 x1_value 0.01 x2_value 0 x3_value 0 x4_value 0 x1_derivative_val 0.98505 x2_derivative_val 0.01 Current Time 0.0101518  

0.0201518;1;kinase_Processor;out;0
0.0201518;1;kinase_Processor;; Sigma 0.0103103 x1_value 0.0199985 x2_value 0.000101518 x3_value 0 x4_value 0 x1_derivative_val 0.969902 x2_derivative_val 0.0199477 Current Time 0.0204621  

0.0304621;1;kinase_Processor;out;0
0.0304621;1;kinase_Processor;; Sigma 0.0104745 x1_value 0.0299969 x2_value 0.000307185 x3_value 1.04668e-06 x4_value 0 x1_derivative_val 0.954698 x2_derivative_val 0.0298433 Current Time 0.0309366  

0.0409366;1;kinase_Processor;out;0
0.0409366;1;kinase_Processor;; Sigma 0.0106447 x1_value 0.0399952 x2_value 0.000619779 x3_value 4.25881e-06 x4_value 1.09635e-08 x1_derivative_val 0.939437 x2_derivative_val 0.0396853 Current Time 0.0415813  

0.0515813;1;kinase_Processor;out;0
0.0515813;1;kinase_Processor;; Sigma 0.0108211 x1_value 0.0499935 x2_value 0.00104222 x3_value 1.08335e-05 x4_value 5.62388e-08 x1_derivative_val 0.924118 x2_derivative_val 0.0494724 Current Time 0.0524024  

0.0624024;1;kinase_Processor;out;0
0.0624024;1;kinase_Processor;; Sigma 0.0110043 x1_value 0.0599917 x2_value 0.00157756 x3_value 2.20528e-05 x4_value 1.73165e-07 x1_derivative_val 0.908738 x2_derivative_val 0.0592029 Current Time 0.0634067  

0.0734067;1;kinase_Processor;out;0
0.0734067;1;kinase_Processor;; Sigma 0.0111945 x1_value 0.0699898 x2_value 0.00222905 x3_value 3.92914e-05 x4_value 4.14888e-07 x1_derivative_val 0.893295 x2_derivative_val 0.0688752 Current Time 0.0746012  

0.0846012;1;kinase_Processor;out;0
0.0846012;1;kinase_Processor;; Sigma 0.0113923 x1_value 0.0799878 x2_value 0.00300007 x3_value 6.40246e-05 x4_value 8.52414e-07 x1_derivative_val 0.877788 x2_derivative_val 0.0784878 Current Time 0.0859935  

0.0959935;1;kinase_Processor;out;0
0.0959935;1;kinase_Processor;; Sigma 0.0115981 x1_value 0.0899857 x2_value 0.00389423 x3_value 9.78376e-05 x4_value 1.57694e-06 x1_derivative_val 0.862213 x2_derivative_val 0.0880386 Current Time 0.0975915  

0.107592;1;kinase_Processor;out;0
0.107592;1;kinase_Processor;; Sigma 0.0118124 x1_value 0.0999836 x2_value 0.0049153 x3_value 0.000142436 x4_value 2.70253e-06 x1_derivative_val 0.846569 x2_derivative_val 0.0975259 Current Time 0.109404  

0.119404;1;kinase_Processor;out;0
0.119404;1;kinase_Processor;; Sigma 0.0120358 x1_value 0.109981 x2_value 0.00606732 x3_value 0.000199656 x4_value 4.36907e-06 x1_derivative_val 0.830852 x2_derivative_val 0.106948 Current Time 0.12144  

0.13144;1;kinase_Processor;out;0
0.13144;1;kinase_Processor;; Sigma 0.012269 x1_value 0.119979 x2_value 0.00735452 x3_value 0.00027148 x4_value 6.7458e-06 x1_derivative_val 0.815059 x2_derivative_val 0.116302 Current Time 0.133709  

0.143709;1;kinase_Processor;out;0
0.143709;1;kinase_Processor;; Sigma 0.0125127 x1_value 0.129976 x2_value 0.00878143 x3_value 0.000360047 x4_value 1.00352e-05 x1_derivative_val 0.799189 x2_derivative_val 0.125586 Current Time 0.146222  

0.156222;1;kinase_Processor;out;0
0.156222;1;kinase_Processor;; Sigma 0.0127675 x1_value 0.139974 x2_value 0.0103528 x3_value 0.000467674 x4_value 1.44776e-05 x1_derivative_val 0.783236 x2_derivative_val 0.134797 Current Time 0.158989  

0.168989;1;kinase_Processor;out;0
0.168989;1;kinase_Processor;; Sigma 0.0130344 x1_value 0.149971 x2_value 0.0120739 x3_value 0.000596869 x4_value 2.03562e-05 x1_derivative_val 0.767199 x2_derivative_val 0.143934 Current Time 0.172023  

0.182023;1;kinase_Processor;out;0
0.182023;1;kinase_Processor;; Sigma 0.0133143 x1_value 0.159968 x2_value 0.01395 x3_value 0.000750355 x4_value 2.80034e-05 x1_derivative_val 0.751072 x2_derivative_val 0.152993 Current Time 0.185338  

0.195338;1;kinase_Processor;out;0
0.195338;1;kinase_Processor;; Sigma 0.0136082 x1_value 0.169965 x2_value 0.015987 x3_value 0.000931094 x4_value 3.78074e-05 x1_derivative_val 0.734853 x2_derivative_val 0.161971 Current Time 0.198946  

0.208946;1;kinase_Processor;out;0
0.208946;1;kinase_Processor;; Sigma 0.0139172 x1_value 0.179962 x2_value 0.0181911 x3_value 0.00114231 x4_value 5.02207e-05 x1_derivative_val 0.718536 x2_derivative_val 0.170866 Current Time 0.212863  

0.222863;1;kinase_Processor;out;0
0.222863;1;kinase_Processor;; Sigma 0.0142426 x1_value 0.189958 x2_value 0.0205691 x3_value 0.00138753 x4_value 6.5769e-05 x1_derivative_val 0.702117 x2_derivative_val 0.179674 Current Time 0.227106  

0.237106;1;kinase_Processor;out;0
0.237106;1;kinase_Processor;; Sigma 0.014586 x1_value 0.199955 x2_value 0.0231281 x3_value 0.00167061 x4_value 8.50628e-05 x1_derivative_val 0.685591 x2_derivative_val 0.18839 Current Time 0.241692  

0.251692;1;kinase_Processor;out;0
